30
16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,8,753,754,755,756,0,0,
753,754,755,756,753,754,755,756,753,754,755,756,753,754,755,756,0,0,0,0,25,26,27,28,773,774,775,776,0,0,
773,774,775,776,773,774,775,776,773,774,775,776,773,774,775,776,89,90,91,92,45,46,47,48,793,794,795,796,0,0,
793,794,795,796,793,794,795,796,793,794,795,796,793,794,795,796,109,110,111,112,65,66,67,68,813,814,815,816,0,0,
813,814,815,816,813,814,815,816,813,814,815,816,813,814,815,816,129,130,131,132,165,166,167,168,165,166,167,168,0,0,
165,166,167,168,165,166,167,168,165,166,167,168,165,166,167,168,149,150,151,152,185,186,187,188,185,186,187,188,0,0,
185,186,187,188,185,186,187,188,185,186,187,188,185,186,187,188,165,166,167,168,205,206,207,208,205,206,207,208,0,0,
205,206,207,208,205,206,207,208,205,206,207,208,205,206,207,208,185,186,187,188,225,226,227,228,225,226,227,228,0,0,
225,226,227,228,225,226,227,228,225,226,227,228,225,226,227,228,205,206,207,208,165,166,167,168,165,166,167,168,0,0,
165,166,167,168,165,166,167,168,165,166,167,168,165,166,167,168,225,226,227,228,185,186,187,188,185,186,187,188,0,0,
185,186,187,188,185,186,187,188,185,186,187,188,185,186,187,188,165,166,167,168,205,206,207,208,205,206,207,208,0,0,
205,206,207,208,205,206,207,208,205,206,207,208,205,206,207,208,185,186,187,188,225,226,227,228,225,226,227,228,0,0,
225,226,227,228,225,226,227,228,225,226,227,228,225,226,227,228,205,206,207,208,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,226,227,228,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
