50
16
1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,
12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,12,13,14,15,16,
23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,23,24,25,26,27,
28,29,30,31,34,35,36,37,38,39,40,41,42,45,46,47,48,49,50,51,52,53,45,46,47,48,49,53,54,45,28,29,30,31,34,35,36,37,38,39,40,41,42,45,46,47,48,49,50,51,
56,57,58,59,60,61,62,63,64,59,58,60,59,56,57,58,59,60,61,62,63,64,56,57,58,59,60,64,65,56,56,57,58,59,60,61,62,63,64,59,58,60,59,56,57,58,59,60,61,62,
83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,100,101,102,103,104,105,106,107,108,109,104,105,106,107,108,83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,100,101,102,103,104,
89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,
100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,
89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,
100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,
89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,
100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,
89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,
100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,
89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,89,90,91,92,93,94,95,96,97,98,
100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109
